# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,71.93557580981756,0.0,-0.10016518494572628,-9.983508746495524,0.0,0.0
 0.1448650159134406,0.0104929364178007,0.07243250795672031,0.5000000000000001,71.93557580981756,0.0,-0.10016518494572628,-9.983508746495524,0.0,0.0
 0.20508263158550627,0.021029442889018254,0.17497382374947348,1.702845830880697,71.87523137529894,0.0,-0.1000317884862963,-9.996822161557107,-1.0021060090997382,-16.641409625997607
 0.25143224081493065,0.03160908586060864,0.22825743620021838,1.1496021937746685,71.81471883045512,0.0,-0.09991250136111489,-10.008757526605091,-1.3055675301226755,-6.547229330906402
 0.29062495427481716,0.042231432023619786,0.27102859754487396,1.0913039075090218,71.75403274887088,0.0,-0.09980705684977254,-10.01933161404788,-1.548402144861785,-6.1959122832270666
 0.32525697015263433,0.05289604831643583,0.3079409622137257,1.0658451069980939,71.69316775245211,0.0,-0.09971520075674345,-10.028561266596787,-1.7574777233153152,-6.037060597083212
 0.35665810499145617,0.06360250192804828,0.3409575375720451,1.0514452909994954,71.63211850847982,0.0,-0.09963669069875432,-10.036463405066726,-1.9441731735381946,-5.9455000967692415
 0.3856173240438449,0.07435036030136785,0.3711377145176509,1.0421612851854964,71.57087972652788,0.0,-0.0995712963206691,-10.04305494607103,-2.114655849011668,-5.886991467727823
 0.4126480125641533,0.08513919113657283,0.3991326683039996,1.0356729820372839,71.50944615568604,0.0,-0.09951879794187053,-10.048352880870862,-2.2727342219081983,-5.848107523334615
 0.4381062939390351,0.09596856239449814,0.4253771532515942,1.0308820364240476,71.44781258173572,0.0,-0.0994789871366089,-10.052374162462634,-2.4209636559021117,-5.822444642322281
 0.4622511055693966,0.10683804230006473,0.4501786997542158,1.0271998341637223,71.38597382443758,0.0,-0.09945166532345515,-10.055135796345034,-2.5611613064051215,-5.806533206774522
 0.48527765113539273,0.11774719934574199,0.4737643783523947,1.024282106518332,71.32392473500661,0.0,-0.09943664382548105,-10.056654785685213,-2.6946764226154625,-5.798312900546669
 0.5073373676264371,0.12869560229506133,0.49630750938091533,1.0219139052703827,71.26166019351372,0.0,-0.0994337434957553,-10.05694812287429,-2.8225449551075155,-5.796472159738038
 0.5285505088185478,0.1396828201861729,0.517943938222491,1.019954029704113,71.19917510645091,0.0,-0.09944279477762827,-10.056032739588398,-2.9455838952342797,-5.800128279564899
 0.549014430293841,0.1507084223354354,0.5387824695561948,1.0183058686412048,71.13646440436304,0.0,-0.09946363620025261,-10.053925617465614,-3.0644518531591696,-5.808659795162097
 0.5688092445470048,0.16177197834106716,0.5589118374204236,1.016901073522909,71.07352303956544,0.0,-0.0994961154209226,-10.050643643417203,-3.1796895890314594,-5.821612387894542
 0.588001799464636,0.17287305808682504,0.57840552200582,1.015689920860325,71.0103459838214,0.0,-0.09954008766098928,-10.046203730558997,-3.2917480770632626,-5.838643604914778
 0.6066485502261653,0.18401123174575407,0.5973251748453994,1.0146353690002246,70.94692822624724,0.0,-0.09959541664102134,-10.04062268853565,-3.4010084858861886,-5.859487812125701
 0.6247976789072783,0.19518606978396125,0.6157231145667229,1.0137092553908325,70.88326477111308,0.0,-0.09966197316845071,-10.033917332840476,-3.5077967792696083,-5.883934995433073
 0.6424906893713751,0.20639714296445244,0.6336441841393281,1.0128897854308747,70.81935063583796,0.0,-0.09973963577198997,-10.026104389292662,-3.6123945896493224,-5.911815323455969
 0.6597636279017262,0.21764402235102373,0.6511271586365512,1.012159828306169,70.75518084886096,0.0,-0.09982828993049823,-10.017200542012821,-3.7150474925993473,-5.942990115413731
 0.6766480315676546,0.2289262793121909,0.6682058297346893,1.0115057325122856,70.6907504478335,0.0,-0.09992782801770403,-10.007222410786632,-3.8159713722958393,-5.977343452179412
 0.6931716750202473,0.2402434855251877,0.6849098532939497,1.0109164850467256,70.62605447752156,0.0,-0.10003814915037594,-9.996186539765086,-3.9153574390264203,-6.0147791869102685
 0.7093591656981768,0.25159521298000675,0.7012654203592132,1.0103831032664767,70.56108798808273,0.0,-0.10015915875839772,-9.984109415417352,-4.013376176173436,-6.055215048287736
 0.7252324234112786,0.2629810339834981,0.7172957945547302,1.0098981875841118,70.49584603308864,0.0,-0.10029076882989277,-9.971007418400994,-4.110180542223751,-6.098582143627155
 0.7408110706023936,0.27440052116353236,0.7330217470068363,1.0094555874578803,70.43032366781746,0.0,-0.10043289684407831,-9.956896907519218,-4.205908540540827,-6.144820993935436
 0.7561127527997552,0.28585324747321195,0.7484619117010755,1.009050148545198,70.36451594751293,0.0,-0.10058546686808605,-9.941794089512568,-4.300685340064898,-6.193881058411503
 0.7711534039283577,0.2973387861951465,0.7636330783640536,1.0086775188959338,70.29841792552142,0.0,-0.10074840813991436,-9.925715139947918,-4.394625034937121,-6.24571995381105
 0.7859474676411743,0.30885671094578737,0.7785504357847643,1.0083339987097257,70.23202465177707,0.0,-0.10092165570425435,-9.90867612131184,-4.4878320813799535,-6.300300461872733
 0.8005080832569093,0.32040659567982543,0.7932277754490444,1.0080164226311275,70.16533117101613,0.0,-0.10110515003135971,-9.890693003173732,-4.580402540731466,-6.357592411922163
 0.814847242978277,0.33198801469464967,0.8076776631175918,1.0077220666574058,70.09833252119915,0.0,-0.10129883656748527,-9.87178168955376,-4.672425101531284,-6.417569968391453
